All,Све
"Magento was installed with a table prefix. Please re-install without prefix.","Магенто је инсталиран са префиксом табле. Молимо инсталирајте га поново без префикса."
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Одабери ово да дозволиш ДХЛ-у да оптимизује дељење трошкова доставе ако поруџбина прелази %1 %2."
"Wrong Content Type","Погрешан Тип Садржаја"
Pounds,Фунте
Kilograms,Килограми
Inches,Инче
Centimeters,Центриметри
inch,инч
Height,Висина
Depth,Дубина
Width,Ширина
Regular,Стандардно
Specific,Одређено
"Easy shop","Лака куповина"
"Express easy","Изрази лако"
"Break bulk express","Експресна достава"
"Medical express","Експресно медицинска"
"Express worldwide","Експрес широм света"
"Express 9:00","Еxпрес 9:00"
"Express 10:30","Еxпрес 10:30"
"Domestic economy select","Домаћа економска одабрана"
"Economy select","Економска одабрана"
"Domestic express 9:00","Домаћа брза 9:00"
"Domestic express","Домаћа брза"
Others,Остало
"Same day","Истог дана"
"Express 12:00","Еxпрес 12:00"
"Express envelope","Брза пошиљка"
"Domestic express 12:00","Домаћа брза 12:00"
Jetline,Авионска
"Freight worldwide","Теретна возила широм света"
"Jumbo box","Велика кутија"
"DHL service is not available at %s date","ДХЛ сервис није доступан %с датума"
"The response is in wrong format.","Одговор је у погрешном формату."
"Zero shipping charge for '%1'","Нула накнада за испоруку '%1'"
"Cannot identify measure unit for %1","Не можемо идентификовати мерну јединицу за %1"
"Cannot identify weight unit for %1","Не можемо идентификовати јединицу за тежину за %1"
"There is no items in this order","Нема ставки у овој поруџбини"
"Please specify origin country.","Молимо дефинишите земљу порекла."
Documents,Документа
"Non Documents","Без Докумената"
"Height, width and length should be equal or greater than %1","Висина, ширина и дужина треба да буду веће или једнаке од %1"
"Unable to retrieve tracking","Није могуће преузети за праћење"
"Response is in the wrong format","Одговор је у погрешном формату"
"Error #%1 : %2","Грешка #%1 : %2"
"No packages for request","Нема паковања за захтев"
"Unable to retrieve shipping label","Није могуц́е преузети етикету за отпрему"
"Non documents","Без докумената"
"Security validation of XML document has been failed.","Сецуритy валидатион оф XМЛ доцумент је фаилед."
"Field ",Поље
" is required.","је обавезно."
"Enabled for Checkout","Омогући за Плаћање"
"Access ID","Приступни ИД"
"Account Number","Број Налога"
"Content Type","Тип садржаја"
"Calculate Handling Fee","Израчунајте накнаду за руковање"
"Handling Applied","Примењено руковање"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Пер Ордер"" омогуц́ава једну накнаду за руковање за целокупну поруџбину. ""Пер Пацкаге"" омогуц́ава појединачну накнаду за руковање за сваки пакет."
"Handling Fee","Трошкови обраде"
"Divide Order Weight","Поделите тежину наруџбе"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Одабери ово да дозволиш ДХЛ-у да оптимизује дељење трошкова доставе ако поруџбина прелази 70 кг."
"Weight Unit","Јединица Тежине"
Size,Величина
"Allowed Methods","Дозвољене Методе"
"Displayed Error Message","Приказана Порука о Грешци"
"Free Method","Бесплатна Метода"
"Enable Free Shipping Threshold","Омогуц́ите праг бесплатне испоруке"
"Free Shipping Amount Threshold","Праг бесплатне испоруке"
"Ship to Applicable Countries","Достави у Одговарајућу Државу"
"Ship to Specific Countries","Достави у Наведену Државу"
"Show Method if Not Applicable","Прикажи Метод ако Није Применљиво"
"Customer services","Купац сервицес"
"Ready time","Време Припреме"
"Package ready time after order submission (in hours)","Време за паковање након слања наруџбе (у сатима)"
"The security validation of the XML document has failed.","Сигурносна валидација за XМЛ документ није успео."
"Content Type (Non Domestic)","Садржај Тип (Нон Доместиц)"
lbs,фунте
kgs,кг
"Undefined rate from ""%1-%2"".","Недефинисана стопа од ""%1-%2""."
"Please correct the target currency.","Молимо исправите циљану валуту."
"We can't retrieve a rate from %1 for %2.","Не можемо вратити стопу из %1 за %2."
"FATAL ERROR:","ФАТАЛНА ГРЕШКА:"
"Please specify the correct Import Service.","Молимо дефинишите исправан Сервис Увоза."
WARNING:,УПОЗОРЕЊЕ:
"Please correct the country code: %1.","Молимо исправите код државе: %1."
"Country and Format Type combination should be unique","Комбинација Типа Државе и Формата треба да буде јединствена"
"Please correct the rates received","Молимо коригујте примљене стопе"
"Your current currency is: %1.","Ваша тренутна валута је: %1."
Continue,Настави
"Currency Update Warnings","Упозорења о Ажурирањима Валуте"
"Currency Setup","Подешавање Валута"
"Currency Options","Опције Валута"
"Base Currency","Основна Валута"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Основна валута се користи за све онлине трансакције плаћања. Опсег основне валуте дефинисан је опсегом цене каталога (""Цаталог"" > ""Прице"" > ""Цаталог Прице Сцопе"")."
"Default Display Currency","Подразумевани Приказ Валуте"
"Allowed Currencies","Дозвољене Валуте"
"Connection Timeout in Seconds","Истек Конекције у Секундама"
"Scheduled Import Settings","Подешавање Заказаних Уноса"
"Error Email Recipient","Погрешан Прималац Мејла"
"Error Email Sender","Погрешан Пошиљалац Мејла"
"Error Email Template","Погрешан Мејл Шаблон"
Service,Сервис
"Installed Currencies","Инсталиране Валуте"
"Zip/Postal Code is Optional for","Фах/Поштански Број је Опцион за"
"State Options","Опције Државе"
"State is Required for","Држава је Захтевана за"
"Allow to Choose State if It is Optional for Country","Дозволи Одабир Државе ако је Опционо за Државу"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Основна валута се користи за све онлине трансакције плаћања. Ако имате више од једног приказа продавнице, опсег основне валуте дефинисан је опсегом цене каталога (""Цаталог"" > ""Прице"" > ""Цаталог Прице Сцопе"")."
"No API Key was specified or an invalid API Key was specified.","АПИ Кључ није дефинисан или је погрешан АПИ Кључ дефинисан."
"The account this API request is coming from is inactive.","Налог са којег долази овај АПИ захтев је неактиван."
"The ""%1"" is not allowed as base currency for your subscription plan.","""%1"" није дозвољен као основна валута у плану претплате."
"An invalid base currency has been entered.","Уписана је неважећа основна валута."
"Currency rates can't be retrieved.","Стопе валуте не могу бити враћене."
"API Key","АПИ кључ"
"The country isn't available.","Држава није доступна."
"Currency Converter API","АПИ Конвертер Валуте"
"Document is not saved due to error.","Документ није сачуван због грешке."
"More than one node matching the query: %1","Више од једног чвора који одговара упиту: %1"
"Invalid Document \n%1","Неисправан Доцумент \н%1"
"Downloadable Information","Информације за Преузимање"
"Add New Link","Додај Нови Линк"
"Upload Files","Отпреми Датотеке"
Unlimited,Неограничено
"Something went wrong while getting the requested content.","Дошло је до грешке приликом добијања траженог садржаја."
"My Downloadable Products","Моји Преузимљиви Производи"
"We can't find the link you requested.","Не можемо пронаћи тражени линк."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Пријавите се како би преузели или поручили производ <а хреф=""%1"">%2</а>."
"Please sign in to download your product.","Пријавите се да би преузели Ваш производ."
"The link has expired.","Линк је истекао."
"The link is not available.","Линк није доступан."
"Sorry, there was an error getting requested content. Please contact the store owner.","Извините, Појавила се грешка приликом преузимања жељеног садржаја. Молим контакрирајте власника продавнице."
"Please set resource file and link type.","Подесите изворну датотеку и тип везе."
"Invalid download link type.","Неважец́а врста везе за преузимање."
"Provided content must be valid base64 encoded data.","Наведени садржај мора бити валидан басе64 кодирани податак."
"Provided file name contains forbidden characters.","Име датотеке садржи карактере који нису дозвољени."
"Link file not provided","Није унешен линк датотеке"
"Link price must have numeric positive value.","Линк цене мора имати позитивну нумеричку вредност."
"Number of downloads must be a positive integer.","Број преузимања мора бити позитиван цео број."
"Sort order must be a positive integer.","Редослед сортирања мора бити позитиван цео број."
"Link URL must have valid format.","Линк УРЛ мора имати валидан формат."
"Provided file content must be valid base64 encoded data.","Наведени садржај датотеке мора бити валидан басе64 кодирани податак."
"Sample URL must have valid format.","Пример УРЛ-а мора имати валидан формат."
"Order id cannot be null","Ид Порудбине не може бити нула"
"Order item id cannot be null","Ид Порученог артикла не може бити нула"
"Provided link information is invalid.","Провидед линк информатион ис неисправан."
"Invalid link type.","Неисправан линк тyпе."
"Link title cannot be empty.","Линк титле не може бе емптy."
"Cannot delete link with id %1","Не може делете линк wитх ид %1"
"Please specify product link(s).","Наведите линкове до производа."
"Sample file not provided","Није унешен пример датотеке"
"Provided sample information is invalid.","Провидед сампле информатион ис неисправан."
"Invalid sample type.","Неисправан сампле тyпе."
"Sample title cannot be empty.","Сампле титле не може бе емптy."
"Cannot delete sample with id %1","Не може делете сампле wитх ид %1"
attachment,прилог
inline,"у реду"
Pending,"На чекању"
"To enable the option set the weight to no","Да омогућите ову опцију подесите тежину на не"
"Is this downloadable Product?","Да ли је ово преузимљиви Производ?"
Links,Линкови
"Links can be purchased separately","Линкови се засебно могу купити"
"Add Link","Додај Линк"
Sample,Примерак
Shareable,Дељиво
"Max. Downloads","Маx. Преузетих"
Samples,Узорци
sample,узорак
"Is this a downloadable Product?","Да ли је ово преузимљиви Производ?"
"Add links to your product files here.","Додајте линкове до фајлова својих производа овде."
"Attach File or Enter Link","Прикачи Фајл или Унеси Линк"
"Add product preview files here.","Додај преглед фајла овде."
"Unselect all","Поништи све"
"Go to <a href=""%1"">My Downloadable Products</a>","Иди на <а хреф=""%1"">Моји Преузимљиви Производи</а>"
"Downloadable Products","Преузимљиви Производи"
"Remaining Downloads","Преостала Преузимања"
"View Order","Прегледај поруџбину"
"Start Download","Започни Преузимање"
"You have not purchased any downloadable products yet.","Нисте купили ни један преузимљиви производ до сада."
download,преузимање
"Downloadable Product Section","Сектор Преузимљивих Производа"
Downloads,Преузимања
"Downloadable Product Options","Опције Преузимљивих Производа"
"Order Item Status to Enable Downloads","Статус ставке наруџбе за омогуц́авање преузимања"
"Default Maximum Number of Downloads","Подразумевани Максимални Број Преузимања"
"Default Sample Title","Подразумевани Наслов Узорка"
"Default Link Title","Подразумевани Линк Наслова"
"Open Links in New Window","Отвори Линкове у Новом Прозору"
"Use Content-Disposition","Користите Садржај-Диспозицију"
"Disable Guest Checkout if Cart Contains Downloadable Items","Онемогући Плаћање Госту ако Корпа Садржи Преузимљиве Производе"
"Guest checkout will only work with shareable.","Плаћање ће госту бити омогућено са дељивим."
"Product type of the product must be 'downloadable'.","Производ тyпе оф тхе продуцт муст бе 'доwнлоадабле'."
"The product needs to be the downloadable type. Verify the product and try again.","Производ треба бити за преузимање. Проверите производ и покушајте поново."
"The link information is invalid. Verify the link and try again.","Неисправни подаци линка. Проверите линк и покушајте поново."
"The link type is invalid. Verify and try again.","Тип везе је неважећи. Проверите и покушајте поново."
"The link title is empty. Enter the link title and try again.","Наслов везе је празан. Унесите наслов везе и покушајте поново."
"No downloadable link with the provided ID was found. Verify the ID and try again.","Унети ИД не садржи линк за преузимање. Проверите ИД и покушајте поново."
"The downloadable link isn't related to the product. Verify the link and try again.","Линк за преузимање није повезан са производом. Проверите линк и покушајте поново."
"The link with ""%1"" ID can't be deleted.","Линк који садржи %1 ИД не може бити обрисан."
"The sample information is invalid. Verify the information and try again.","Подаци примера нису важећи. Проверите податке и покушајте поново."
"The sample type is invalid. Verify the sample type and try again.","Тип узорка је неисправан. Проверите тип узорка и покушајте поново."
"The sample title is empty. Enter the title and try again.","Наслов везе је празан. Унесите наслов везе и покушајте поново."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","Није пронађен узорак са датом идентификацијом, Проверите ИД и покушајте поново."
"The downloadable sample isn't related to the product. Verify the link and try again.","Узорак за преузимање није повезан са производом. Проверите линк и покушајте поново."
"The sample with ""%1"" ID can't be deleted.","Узорак са ИД ""%1"" није могуће обрисати."
"Default Label","Подразумевана Ознака"
"Default label","Подразумевана ознака"
"Values Required","Обавезне Вредности"
"Decimal Number","Децимални Број"
"Integer Number","Цели Бројеви"
Letters,Слова
"Letters (a-z, A-Z) or Numbers (0-9)","Слова (а-з, А-З) или Бројеви (0-9)"
"Input type ""%value%"" not found in the input types list.","Тип уноса ""%валуе%"" није пронађен у листи типова уноса."
"Entity object is undefined","Ентитет објекта није дефинисан"
"""%1"" is not a valid image format","""%1"" није валидан формат слике"
"""%1"" cannot contain more than %2 lines.","""%1"" не може садржати више од %2 линија."
"Attribute group does not belong to provided attribute set","Атрибут гроуп доес нот белонг то провидед аттрибуте сет"
"Cannot save attributeGroup","Не може се сачувати група атрибута"
"Cannot delete attributeGroup with id %1","Не може делете аттрибутеГроуп wитх ид %1"
"AttributeSet with id ""%1"" does not exist.","Скуп атрибута са ИД ""%1"" не постоји."
"Wrong attribute set id provided","Погрешан ИД комплета атрибута"
"Attribute group does not belong to attribute set","Атрибут гроуп доес нот белонг то аттрибуте сет"
"Attribute set not found: %1","Атрибут сет није пронађено: %1"
"Attribute ""%1"" not found in attribute set %2.","Атрибут ""%1"" није пронађен у скупу атрибута %2."
"System attribute can not be deleted","Систем аттрибуте цан нот бе делетед"
"Cannot save attribute","Не може се сачувати атрибут"
"Attribute with attributeCode ""%1"" does not exist.","Атрибут са аттрибутеЦоде ""%1"" не постоји."
"Cannot delete attribute.","Не може се обрисати атрибут."
"Attribute with id ""%1"" does not exist.","Атрибут са ИД ""%1"" не постоји."
"Default attribute set can not be deleted","Подразумевано аттрибуте сет цан нот бе делетед"
"Invalid entity_type specified: %1","Наведени ентитy_тyпе није важећи: %1"
"Entity is not initialized","Ентитет није иницијализован"
"Unknown parameter","Непознат параметар"
"Invalid default decimal value","Неисправна подразумевана децимална вредност"
"Invalid default date","Неисправан подразумевани датум"
"Invalid entity supplied","Неисправан ентитет"
"Invalid backend model specified: %1","Неисправан бацкенд модел специфиед: %1"
"Source model ""%1"" not found for attribute ""%2""","Изворни модел ""%1"" није пронађен за атрибут ""%2"""
"The value of attribute ""%1"" must be unique","Вредност атрибута ""%1"" мора бити јединствена"
"Invalid date","Неважећи датум"
"Empty attribute code","Празан код атрибута"
"Attribute %1 doesn't work with options","Атрибут %1 доесн'т wорк wитх оптионс"
"Cannot save attribute %1","Не може саве аттрибуте %1"
"Attribute %1 doesn't have any option","Атрибут %1 доесн'т хаве анy оптион"
"Cannot load options for attribute %1","Не може лоад оптионс фор аттрибуте %1"
"Attribute %1 does not contain option with Id %2","Атрибут %1 доес нот цонтаин оптион wитх Ид %2"
"Entity attribute with id ""%1"" not found","Атрибут ентитета са ИД ""%1"" није пронађен"
"Attribute set name is empty.","Назив комплета атрибута је празан."
"An attribute set named ""%1"" already exists.","Скуп атрибута под називом ""%1"" већ постоји."
"No options found.","Опције нису пронађене."
"Invalid entity supplied: %1","Неисправан ентитy супплиед: %1"
"Attempt to add an invalid object","Аттемпт то адд ан неисправан објецт"
"Invalid attribute identifier for filter (%1)","Неважећи идентификатор атрибута за филтер (%1)"
"Invalid attribute requested: %1","Неисправан аттрибуте реqуестед: %1"
"Joint field or attribute expression with this alias is already declared","Израз заједничког поља или атрибута са овим псеудонимом је вец́ декларисан"
"Invalid alias, already exists in joint attributes","Неважећи алијас, већ постоји у заједничким атрибутима"
"Invalid foreign key","Неисправан страни кључ"
"Invalid entity type","Неисправан тип ентитета"
"Invalid attribute type","Неисправан тип атрибута"
"A joined field with this alias is already declared.","Заједничко поље са овим алијасом је већ декларисано."
"Invalid joint fields","Неважец́а заједничка поља"
"Data integrity: No header row found for attribute","Дата интегритy: Не хеадер роw фоунд фор аттрибуте"
"Invalid attribute name: %1","Неисправан аттрибуте наме: %1"
"Invalid character encountered in increment ID: %1","Неважећи знак се налази у повећању ИД: %1"
"The current module pathname is undefined.","Тренутни патхнаме модул није дефинисан."
"The current module EAV entity is undefined.","Тренутни ЕАВ ентитет модул није дефинисан."
"The form code is not defined.","Код форме није дефинисан."
"The entity instance is not defined.","Инстанца ентитета није дефинисана."
"Invalid form type.","Неисправан форм тyпе."
"Invalid EAV attribute","Неисправан ЕАВ атрибут"
"Attribute with the same code","Атрибут са истим кодом"
"The storefront label is not defined.","Ознака продавнице није дефинисана."
"Default option value is not defined","Подразумевана вредност опције није дефинисана"
"Attribute group with same code already exist. Please rename ""%1"" group","Група атрибута са истим кодом већ постоји. Молимо промените име ""%1"" групи"
"Form Element with the same attribute","Елемент Форме са истим атрибутом"
"Form Fieldset with the same code","Поље Форме са истим кодом"
"Form Type with the same code","Тип Форме са истим кодом"
"The value of attribute ""%1"" is invalid.","Вредност атрибута ""%1"" је неважећи."
"Wrong entity ID","Погрешан ИД ентитета"
"Wrong attribute set ID","Погрешан ИД комплета атрибута"
"Wrong attribute group ID","Погрешан ИД групе атрибута"
"Attribute with ID: ""%1"" does not exist","Атибут са ИД: ""%1"" не постоји"
"AttributeSet does not exist.","Не постоји АттрибутеСет."
hello,здраво
"Some internal exception message.","Нека порука о интерном одступању."
"The value of attribute not valid","Вредност атрибута је неважећи"
"EAV types and attributes","ЕАВ врсте и атрибути"
"Entity types declaration cache","Кеш декларације типова ентитета"
"'Invalid backend model specified: ' .","'Неисправан бацкенд модел специфиед: ' ."
"The attribute group with id ""%1"" can't be deleted.","Група атрибута са ИД ""%1"" не може бити обрисана."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","Сет атрибута са ИД ""%1"" не постоји. Проверите сет атрибута и покушајте поново."
"The attribute set ID is incorrect. Verify the ID and try again.","Тхе аттрибуте сет ИД ис нетачан. Верифy тхе ИД анд покушајте поново."
"The ""%1"" attribute set wasn't found. Verify and try again.","Сет атрибута ""%1"" није пронађен. Проверите и покушајте поново."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","Атрибут ""%1"" није пронађен у сету атрибута ""%2"". Унесите атрибут и покушајте поново."
"The system attribute can't be deleted.","Системски атрибут се не може избрисати."
"The attribute can't be saved.","Атрибут не може бити снимљен."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","Атрибут са %1 аттрибутеЦоде не постоји. Проверите атрибут и покушајте поново."
"The attribute can't be deleted.","Атрибут се не може избрисати."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","Атрибут са %1 ИД бројем не постоји. Проверите атрибут и покушајте поново."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Скуп атрибута не може бити сачуван због грешке. Проверите информације и покушајте поново. Уколико и даље приказује грешку, молимо покушајте касније."
"The default attribute set can't be deleted.","Подразумевани скуп атрибута се не може избрисати."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","Скуп атрибута не може бити избрисан због грешке. Покушајте поново - уколико поново приказује грешке, молимо покушајте касније."
"This parameter is unknown. Verify and try again.","Овај параметар није познат. Проверите параметар и покушајте поново."
"The default decimal value is invalid. Verify the value and try again.","Подразумевана децимална вредност није исправна. Проверите вредност и покушајте поново."
"The default date is invalid. Verify the date and try again.","Подразумевани датум није исправан. Провери датум и покушај поново."
"The entity supplied is invalid. Verify the entity and try again.","Обезбеђени ентитет није исправан. Проверите ентитет и покушајте поново."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","""%1"" бацкенд модел је неисправан. Проверите бацкенд модел и покушајте поново."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Вредност ""%1"" атрибута није јединствена. Подесите јединствену вредност и покушајте поново."
"The attribute code is empty. Enter the code and try again.","Код атрибута је празан. Унесите код и покушајте поново."
"The ""%1"" attribute doesn't work with options.","""%1"" атрибут не ради са овим опцијама."
"The ""%1"" attribute can't be saved.","""%1"" атрибут не може бити сачуван."
"The ""%1"" attribute has no option.","""%1"" атрибут нема опција."
"The options for ""%1"" attribute can't be loaded.","Опције за ""%1"" атрибут не могу бити учитане."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","""%1"" атрибут не укључује опцију са ИД ""%2""."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","Ентитет атрибута са ""%1"" ИД није пронађен. Ресетујте атрибут и покушајте поново."
"The attribute set name is empty. Enter the name and try again.","Назив сета атрибута је празан. Унесите назив и покушајте поново."
"A ""%1"" attribute set name already exists. Create a new name and try again.","""%1"" назив сета атрибута већ постоји. Креирајте ново име и покушајте поново."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","Обезбеђени ентитет ""%1"" није исправан. Проверите ентитет и покушајте поново."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","Објекат није додат зато што није исправан. Да наставите, унесите валидни објекат и наставите даље."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","""%1"" тражени атрибут је неважећи. Провери атрибут и покушај поново."
"The foreign key is invalid. Verify the foreign key and try again.","Страни кључ је неважећи. Провери страни кључ и покушај поново."
"The entity type is invalid. Verify the entity type and try again.","Тип ентитета је неисправан. Проверите тип ентитета и покушајте поново."
"The attribute type is invalid. Verify the attribute type and try again.","Тип атрибута није исправан. Проверите тип и атрибута и покушајте поново."
"A joint field with a ""%1"" alias is already declared.","Заједничко поље са ""%1"" алијасом је већ декларисано."
"A header row is missing for an attribute. Verify the header row and try again.","Недостаје заглавље за овај атрибут. Провери заглавље и покушај поново."
"The ""%1"" attribute name is invalid. Reset the name and try again.","""%1"" неважећи назив атрибута. Ресетујте назив и покушајте поново."
"The form type is invalid. Reset the type and try again.","Тип форме је неважећи. Ресетујте тип и покушајте поново."
"The EAV attribute is invalid. Verify the attribute and try again.","ЕАВ атрибут је неважећи. Провери атрибут и покушај поново."
"The default option isn't defined. Set the option and try again.","Подразумевана опција није дефинисана. Подесите опцију и покушајте поново."
"The entity ID is incorrect. Verify the ID and try again.","ИД ентитета је неважећи. Провери ИД и покушајте поново."
"The attribute group ID is incorrect. Verify the ID and try again.","ИД групе атрибуте је неважећи. Проверите ИД и покушајте поново."
"These changes affect all related products.","Ове промене утичу на све повезане производе."
"Text Editor","Текст Едитор"
"""Entity type should be specified","""Тип ентитета треба да буде наведен"
"""Attribute code should be specified","""Код атрибута треба да буде наведен"
"Attribute code %1 of entity type %2 not configured to have a type.","Атрибут цоде %1 оф ентитy тyпе %2 нот цонфигуред то хаве а тyпе."
"Missing %1 for the input %2.","Недостаје %1 фор тхе инпут %2."
"Type %1 has no internal representation declared.","Тип %1 хас но интернал репресентатион децларед."
"Cannot resolve EAV type","Не може ресолве ЕАВ тyпе"
"The search failed because of a search engine misconfiguration.","Претрага није успела због погрешне конфигурације претраживача."
"There is no such data mapper ""%1"" for interface %2","Не постоји такаво пресликавање података %1 за интерфејс %2"
"Data mapper ""%1"" must implement interface %2","Дата маппер %1 мора имплементирати интерфејс %2"
"Could not ping search engine: %1","Није могуће пинговање претраживача: %1"
"Elasticsearch Server Hostname","Еластицсеарцх име сервера"
"Elasticsearch Index Prefix","Еластицсеарцх Префикс Индекса"
"Enable Elasticsearch HTTP Auth","Омогући Еластицсеарцх ХТТП Аутентикацију"
"Elasticsearch HTTP Username","Еластицсеарцх ХТТП Корисничко име"
"Elasticsearch HTTP Password","Еластицсеарцх ХТТП Лозинка"
"Test Connection","Провери Везу"
"We were unable to perform the search because of a search engine misconfiguration.","Wе wере није могуће перформ тхе сеарцх бецаусе оф а сеарцх енгине мисцонфигуратион."
"Add New Template","Додајте нови шаблон"
"Transactional Emails","Трансактивни Емаилови"
"Delete Template","Обриши шаблон"
"Convert to Plain Text","Пребаци у обичан текст"
"Return Html Version","Врати верзију Хтмл-а"
"Preview Template","Преглед шаблона"
"Save Template","Сними шаблон"
"Load Template","Учитај шаблон"
"Edit Email Template","Измени шаблон е-поште"
"New Email Template","Нови шаблон е-поште"
"Template Information","Информације о шаблону"
"Currently Used For","Тренутно коришћен за"
"Template Name","Назив шаблона"
"Template Subject","Предмет шаблона"
"Insert Variable...","Убаци променљиву..."
"Template Content","Садржај шаблона"
"Template Styles","Стилови шаблона"
"You deleted the email template.","Обрисали сте шаблон е-поште."
"The email template is currently being used.","Тренутно се користи шаблон е-поште."
"We can't delete email template data right now. Please review log and try again.","Wе цан'т делете емаил темплате дата ригхт ноw. Плеасе ревиеw лог анд покушајте поново."
"Edit Template","Измени шаблон"
"Edit System Template","Измени Систем Шаблона"
"New Template","Нови шаблон"
"New System Template","Нови Системски Шаблон"
"Email Templates","Емаил шаблони"
"Email Preview","Преглед Мејла"
"An error occurred. The email template can not be opened for preview.","Дошло је до грешке. Шаблон мејла не може бити отворен за преглед."
"This email template no longer exists.","Овај шаблон мејла више не постоји."
"You saved the email template.","Сачували сте шаблон мејла."
"Design config must have area and store.","Дизајн цонфиг муст хаве ареа анд сторе."
"Base Unsecure URL","Основни небезбедни УРЛ"
"Base Secure URL","Основни безбедни УРЛ"
"General Contact Name","Опште Цонтацт Назив"
"General Contact Email","Опште Цонтацт Е-пошта"
"Sales Representative Contact Name","Име продајног представника"
"Sales Representative Contact Email","Емаил продајног представника"
"Custom1 Contact Name","Цустом1 Цонтацт Назив"
"Custom1 Contact Email","Цустом1 Цонтацт Е-пошта"
"Custom2 Contact Name","Цустом2 Цонтацт Назив"
"Custom2 Contact Email","Цустом2 Цонтацт Е-пошта"
"Store Hours","Радно време продавнице"
"Street Address 1","Улица 1"
"Street Address 2","Улица 2"
"Store Contact Information","Контакт информације продавнице"
"Template Variables","Варијације Шаблона"
"Please enter a template name.","Молимо унесите назив шаблона."
"Duplicate Of Template Name","Дупликат назива предлошка"
"Invalid transactional email code: %1","Неважец́и код за мејл трансакције: %1"
"Requested invalid store ""%1""","Тражена неважећа продавница ""%1"""
"""file"" parameter must be specified","""филе"" параметар мора бити дефинисан"
"Contents of %s could not be loaded or is empty","Садржаји %с не могу бити учитани или су празни"
"""file"" parameter must be specified and must not be empty","""филе"" параметар мора бити дефинисан и не може бити празан"
"Design params must be set before calling this method","Прије позивања ове методе морају се поставити параметри дизајна"
"CSS inlining error:","ЦСС грешка у линку:"
"Error filtering template: %s","Грешка филтрирања предлошка: %с"
"We're sorry, an error has occurred while generating this content.","Жао нам је, дошло је до грешке током генерисања овог садржаја."
"Invalid sender data","Неважећи пошиљалац података"
"Load default template","Учитај подразумевани шаблон"
"Are you sure you want to strip tags?","Јесте ли сигурни да желите да скинете ознаке?"
"Are you sure you want to delete this template?","Јесте ли сигурни да желите да обришете овај предложак?"
"The template did not load. Please review the log for details.","Шаблон није учитан. Молимо проверите извештај за детаље."
"Thank you, %store_name","Хвала, %сторе_наме"
"No Templates Found","Шаблони нису пронађени"
"Template Type","Тип шаблона"
"Logo Image","Лого Слика"
"Logo Image Alt","Алт Лого Слике"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Неопходно само ако је слика изнад учитана. Упишите број пиxела, без уписивања ""пx""."
"Logo Width","Ширина Лого"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Неопходно ако је слика ућитана изнад. Унесите висину слике у пиxелима без уписивања ""пx""."
"Logo Height","Висина Лого"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Шалон е-поште је изабран на основу теме, када је изабрана опција „Задата вредност”."
"Header Template","Заглавље Шаблона"
"Footer Template","Подножје Шаблона"
Emails,Емаил
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Потребно само ако је слика отпремљена изнад. Унесите број пиксела, без додавања ""пx""."
"The design config needs an area and a store. Verify that both are set and try again.","Конфигурација дизајна треба површину и продавницу. Проверите да ли су оба подешена и покушајте поново."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Да оптимизујете лого за екране високе резолуције, учитајте слику која је 3 пута веће од нормалне величини и затим дефинишите 1x димензију за ширину и висину у пољу испод."
"Change Encryption Key","Промени Енкрипцијски Кључ"
"Encryption Key","Енкрипцијски Кључ"
"New Encryption Key","Нови Енкрипцијски Кључ"
